"Educational attainment for adults age 25 and older for the U.S., States, and counties, 1970–2021",,,,,
"Note: For 1970 and 1980, the share of adults with less than high school includes those who had not completed the 12th grade. In 1990, 2000, and estimates from the 5-year period American Conmunity Survey, the share includes those who did not receive a high school diploma or its equivalent (such as a GED). For definitions of rural classifications, see the USDA, Economic Research Service webpage ""Rural Classifications"" in the ""Rural Economy and Population"" topic. Note that counties not existing when rural classifications were determined will not have values for those fields.",,,,,
"Source: USDA, Economic Research Service using data from U.S. Department of Commerce, Bureau of the Census, 1970, 1980, 1990, 2000 Censuses of Population, and 2008–12 and 2017–21 American Community Survey 5-year period county-level estimates. Data as of January 24, 2023. For more information contact Austin Sanders.",,,,,
FIPS_Code,State,Area name,"Percent of adults with a high school diploma only, 2017-21","Percent of adults completing some college or associate's degree, 2017-21","Percent of adults with a bachelor's degree or higher, 2017-21"
1001,AL,Autauga County,32.8,28.7,28.1
1003,AL,Baldwin County,27.4,31.2,32.5
1005,AL,Barbour County,36.7,27.8,11.2
1007,AL,Bibb County,43.9,24.7,11.9
1009,AL,Blount County,35.1,33.6,14.9
1011,AL,Bullock County,41.3,24.6,11.7
1013,AL,Butler County,45.2,26.3,14.0
1015,AL,Calhoun County,34.6,31.1,19.5
1017,AL,Chambers County,36.2,32.9,13.7
1019,AL,Cherokee County,36.9,30.1,12.8
1021,AL,Chilton County,42.9,25.3,13.5
1023,AL,Choctaw County,37.5,31.4,11.7
1025,AL,Clarke County,41.4,26.9,13.9
1027,AL,Clay County,38.2,31.4,13.4
1029,AL,Cleburne County,37.5,29.2,16.4
1031,AL,Coffee County,28.0,35.7,22.7
1033,AL,Colbert County,37.7,31.2,17.9
1035,AL,Conecuh County,48.5,26.6,12.5
1037,AL,Coosa County,41.8,32.1,11.2
1039,AL,Covington County,38.0,31.4,15.8
1041,AL,Crenshaw County,41.8,23.0,16.4
1043,AL,Cullman County,32.4,35.3,16.5
1045,AL,Dale County,30.9,35.3,18.7
1047,AL,Dallas County,38.2,31.6,16.1
1049,AL,DeKalb County,33.5,30.3,14.4
1051,AL,Elmore County,32.1,31.0,24.6
1053,AL,Escambia County,43.7,25.4,12.5
1055,AL,Etowah County,33.8,34.4,18.0
1057,AL,Fayette County,41.0,30.2,11.8
1059,AL,Franklin County,42.2,23.0,14.3
1061,AL,Geneva County,36.6,32.4,13.5
1063,AL,Greene County,39.3,32.5,12.7
1065,AL,Hale County,39.1,26.4,15.8
1067,AL,Henry County,32.2,27.5,21.6
1069,AL,Houston County,32.1,33.4,22.2
1071,AL,Jackson County,38.3,28.1,16.1
1073,AL,Jefferson County,26.4,29.9,34.7
1075,AL,Lamar County,41.7,30.8,10.0
1077,AL,Lauderdale County,35.1,28.1,25.5
1079,AL,Lawrence County,41.3,26.6,15.3
1081,AL,Lee County,22.1,30.7,38.6
1083,AL,Limestone County,27.3,30.8,28.4
1085,AL,Lowndes County,43.1,26.5,15.1
1087,AL,Macon County,30.0,32.3,21.2
1089,AL,Madison County,19.2,28.5,44.3
1091,AL,Marengo County,35.7,31.2,19.7
1093,AL,Marion County,35.6,33.1,12.6
1095,AL,Marshall County,31.2,31.0,21.4
1097,AL,Mobile County,34.2,29.7,23.9
1099,AL,Monroe County,44.7,24.8,12.9
1101,AL,Montgomery County,25.8,28.5,33.4
1103,AL,Morgan County,31.2,30.8,22.8
1105,AL,Perry County,40.1,19.6,18.9
1107,AL,Pickens County,42.3,27.6,13.3
1109,AL,Pike County,36.3,23.3,27.8
1111,AL,Randolph County,34.4,29.6,16.2
1113,AL,Russell County,29.5,38.5,17.3
1115,AL,St. Clair County,35.2,32.4,18.5
1117,AL,Shelby County,19.8,29.0,44.8
1119,AL,Sumter County,33.5,34.3,19.5
1121,AL,Talladega County,34.6,32.4,15.9
1123,AL,Tallapoosa County,31.6,31.9,18.1
1125,AL,Tuscaloosa County,29.8,29.2,30.6
1127,AL,Walker County,34.6,33.6,14.1
1129,AL,Washington County,42.5,30.1,13.6
1131,AL,Wilcox County,39.2,29.0,11.0
1133,AL,Winston County,38.7,27.1,13.5
2010,AK,Aleutian Islands,,,
2013,AK,Aleutians East Borough,41.6,27.2,15.9
2016,AK,Aleutians West Census Area,43.4,30.9,16.8
2020,AK,Anchorage Municipality,23.7,33.7,36.8
2050,AK,Bethel Census Area,46.6,22.6,12.7
2060,AK,Bristol Bay Borough,30.2,42.5,22.1
2063,AK,"Chugach Census Area, Alaska",23.3,41.3,30.7
2066,AK,"Copper River Census Area, Alaska",35.2,29.1,29.8
2068,AK,Denali Borough,30.4,28.5,39.4
2070,AK,Dillingham Census Area,39.9,27.1,19.6
2090,AK,Fairbanks North Star Borough,25.6,36.3,32.6
2100,AK,Haines Borough,39.4,32.6,25.6
2105,AK,Hoonah-Angoon Census Area,36.5,34.9,22.3
2110,AK,Juneau City and Borough,21.0,34.4,40.1
2122,AK,Kenai Peninsula Borough,30.9,35.7,27.4
2130,AK,Ketchikan Gateway Borough,28.9,38.7,26.4
2150,AK,Kodiak Island Borough,28.2,33.2,29.2
2158,AK,Kusilvak Census Area,55.6,21.0,2.9
2160,AK,Kuskokwim Division,,,
2164,AK,Lake and Peninsula Borough,40.7,26.3,22.2
2170,AK,Matanuska-Susitna Borough,33.0,37.0,23.7
2180,AK,Nome Census Area,43.6,25.7,18.4
2185,AK,North Slope Borough,41.4,30.6,15.6
2188,AK,Northwest Arctic Borough,47.1,22.8,14.4
2195,AK,Petersburg Census Area,31.0,32.0,28.4
2198,AK,Prince of Wales-Hyder Census Area,38.1,35.1,19.2
2201,AK,Prince of Wales-Outer Ketchikan Census Area,,,
2220,AK,Sitka City and Borough,25.4,36.2,33.2
2230,AK,Skagway Municipality,33.5,31.9,25.0
2231,AK,Skagway-Yakutat-Angoon Census Area,,,
2232,AK,Skagway-Hoonah-Angoon Census Area,,,
2240,AK,Southeast Fairbanks Census Area,38.1,35.1,19.3
2250,AK,Upper Yukon Division,,,
2261,AK,Valdez-Cordova Census Area,,,
2275,AK,Wrangell City and Borough,37.0,32.6,15.2
2280,AK,Wrangell-Petersburg Census Area,,,
2282,AK,Yakutat City and Borough,44.6,39.7,10.3
2290,AK,Yukon-Koyukuk Census Area,42.3,31.9,12.9
4001,AZ,Apache County,31.0,38.3,12.8
4003,AZ,Cochise County,24.4,38.5,25.8
4005,AZ,Coconino County,21.3,30.9,38.7
4007,AZ,Gila County,28.5,39.7,18.8
4009,AZ,Graham County,29.6,39.1,14.7
4011,AZ,Greenlee County,32.6,39.1,16.0
4012,AZ,La Paz County,34.0,38.2,11.8
4013,AZ,Maricopa County,22.0,32.5,34.4
4015,AZ,Mohave County,34.3,38.5,14.6
4017,AZ,Navajo County,29.5,38.4,16.7
4019,AZ,Pima County,21.4,33.6,34.4
4021,AZ,Pinal County,30.4,36.2,20.9
4023,AZ,Santa Cruz County,26.1,28.6,23.0
4025,AZ,Yavapai County,25.2,38.6,27.8
4027,AZ,Yuma County,26.6,32.6,15.7
5001,AR,Arkansas County,41.9,28.2,16.6
5003,AR,Ashley County,50.9,22.3,12.0
5005,AR,Baxter County,34.7,35.3,18.6
5007,AR,Benton County,29.4,25.8,34.6
5009,AR,Boone County,33.8,37.5,17.8
5011,AR,Bradley County,42.9,28.7,12.5
5013,AR,Calhoun County,43.3,28.6,12.2
5015,AR,Carroll County,35.2,28.0,22.0
