"Educational attainment for adults age 25 and older for the U.S., States, and counties, 1970–2021",,,,
"Note: For 1970 and 1980, the share of adults with less than high school includes those who had not completed the 12th grade. In 1990, 2000, and estimates from the 5-year period American Conmunity Survey, the share includes those who did not receive a high school diploma or its equivalent (such as a GED). For definitions of rural classifications, see the USDA, Economic Research Service webpage ""Rural Classifications"" in the ""Rural Economy and Population"" topic. Note that counties not existing when rural classifications were determined will not have values for those fields.",,,,
"Source: USDA, Economic Research Service using data from U.S. Department of Commerce, Bureau of the Census, 1970, 1980, 1990, 2000 Censuses of Population, and 2008–12 and 2017–21 American Community Survey 5-year period county-level estimates. Data as of January 24, 2023. For more information contact Austin Sanders.",,,,
Federal Information Processing Standard (FIPS) Code,State,"Percent of adults with a high school diploma only, 2017-21","Percent of adults completing some college or associate's degree, 2017-21","Percent of adults with a bachelor's degree or higher, 2017-21"
00000,US,26.5,28.7,33.7
01000,AL,30.5,30.2,26.7
01001,AL,32.8,28.7,28.1
01003,AL,27.4,31.2,32.5
01005,AL,36.7,27.8,11.2
01007,AL,43.9,24.7,11.9
01009,AL,35.1,33.6,14.9
01011,AL,41.3,24.6,11.7
01013,AL,45.2,26.3,14.0
01015,AL,34.6,31.1,19.5
01017,AL,36.2,32.9,13.7
01019,AL,36.9,30.1,12.8
01021,AL,42.9,25.3,13.5
01023,AL,37.5,31.4,11.7
01025,AL,41.4,26.9,13.9
01027,AL,38.2,31.4,13.4
01029,AL,37.5,29.2,16.4
01031,AL,28.0,35.7,22.7
01033,AL,37.7,31.2,17.9
01035,AL,48.5,26.6,12.5
01037,AL,41.8,32.1,11.2
01039,AL,38.0,31.4,15.8
01041,AL,41.8,23.0,16.4
01043,AL,32.4,35.3,16.5
01045,AL,30.9,35.3,18.7
01047,AL,38.2,31.6,16.1
01049,AL,33.5,30.3,14.4
01051,AL,32.1,31.0,24.6
01053,AL,43.7,25.4,12.5
01055,AL,33.8,34.4,18.0
01057,AL,41.0,30.2,11.8
01059,AL,42.2,23.0,14.3
01061,AL,36.6,32.4,13.5
01063,AL,39.3,32.5,12.7
01065,AL,39.1,26.4,15.8
01067,AL,32.2,27.5,21.6
01069,AL,32.1,33.4,22.2
01071,AL,38.3,28.1,16.1
01073,AL,26.4,29.9,34.7
01075,AL,41.7,30.8,10.0
01077,AL,35.1,28.1,25.5
01079,AL,41.3,26.6,15.3
01081,AL,22.1,30.7,38.6
01083,AL,27.3,30.8,28.4
01085,AL,43.1,26.5,15.1
01087,AL,30.0,32.3,21.2
01089,AL,19.2,28.5,44.3
01091,AL,35.7,31.2,19.7
01093,AL,35.6,33.1,12.6
01095,AL,31.2,31.0,21.4
01097,AL,34.2,29.7,23.9
01099,AL,44.7,24.8,12.9
01101,AL,25.8,28.5,33.4
01103,AL,31.2,30.8,22.8
01105,AL,40.1,19.6,18.9
01107,AL,42.3,27.6,13.3
01109,AL,36.3,23.3,27.8
01111,AL,34.4,29.6,16.2
01113,AL,29.5,38.5,17.3
01115,AL,35.2,32.4,18.5
01117,AL,19.8,29.0,44.8
01119,AL,33.5,34.3,19.5
01121,AL,34.6,32.4,15.9
01123,AL,31.6,31.9,18.1
01125,AL,29.8,29.2,30.6
01127,AL,34.6,33.6,14.1
01129,AL,42.5,30.1,13.6
01131,AL,39.2,29.0,11.0
01133,AL,38.7,27.1,13.5
02000,AK,28.5,34.2,30.6
02010,AK,,,
02013,AK,41.6,27.2,15.9
02016,AK,43.4,30.9,16.8
02020,AK,23.7,33.7,36.8
02050,AK,46.6,22.6,12.7
02060,AK,30.2,42.5,22.1
02063,AK,23.3,41.3,30.7
