"","FIPS_Code","State","Area.name","Percent.of.adults.with.a.high.school.diploma.only..2017.21","Percent.of.adults.completing.some.college.or.associate.s.degree..2017.21","Percent.of.adults.with.a.bachelor.s.degree.or.higher..2017.21","PCTPOVALL_2021","totalEducation","highschoolOrLower","college","highschoolFun","associatesFun","collegeFun"
"1",1001,"AL","Autauga County",32.8,28.7,28.1,10.7,89.6,43.2,56.8,0.046224,0.030709,0.030067
"2",1003,"AL","Baldwin County",27.4,31.2,32.5,10.8,91.1,36.3,63.7,0.039204,0.033696,0.0351
"3",1005,"AL","Barbour County",36.7,27.8,11.2,23,75.7,61,39,0.1403,0.06394,0.02576
"4",1007,"AL","Bibb County",43.9,24.7,11.9,20.6,80.5,63.4,36.6,0.130604,0.050882,0.024514
"5",1009,"AL","Blount County",35.1,33.6,14.9,12,83.6,51.5,48.5,0.0618,0.04032,0.01788
"6",1011,"AL","Bullock County",41.3,24.6,11.7,32.1,77.6,63.7,36.3,0.204477,0.078966,0.037557
"7",1013,"AL","Butler County",45.2,26.3,14,22.7,85.5,59.7,40.3,0.135519,0.059701,0.03178
"8",1015,"AL","Calhoun County",34.6,31.1,19.5,19.2,85.2,49.4,50.6,0.094848,0.059712,0.03744
"9",1017,"AL","Chambers County",36.2,32.9,13.7,19.7,82.8,53.4,46.6,0.105198,0.064813,0.026989
"10",1019,"AL","Cherokee County",36.9,30.1,12.8,18.2,79.8,57.1,42.9,0.103922,0.054782,0.023296
"11",1021,"AL","Chilton County",42.9,25.3,13.5,15.5,81.7,61.2,38.8,0.09486,0.039215,0.020925
"12",1023,"AL","Choctaw County",37.5,31.4,11.7,23.3,80.6,56.9,43.1,0.132577,0.073162,0.027261
"13",1025,"AL","Clarke County",41.4,26.9,13.9,19.4,82.2,59.2,40.8,0.114848,0.052186,0.026966
"14",1027,"AL","Clay County",38.2,31.4,13.4,18.4,83,55.2,44.8,0.101568,0.057776,0.024656
"15",1029,"AL","Cleburne County",37.5,29.2,16.4,15,83.1,54.4,45.6,0.0816,0.0438,0.0246
"16",1031,"AL","Coffee County",28,35.7,22.7,15.9,86.4,41.6,58.4,0.066144,0.056763,0.036093
"17",1033,"AL","Colbert County",37.7,31.2,17.9,16.5,86.8,50.9,49.1,0.083985,0.05148,0.029535
"18",1035,"AL","Conecuh County",48.5,26.6,12.5,22.4,87.6,60.9,39.1,0.136416,0.059584,0.028
