FIPS_Code,PCTPOVALL_2021
1001,10.7
1003,10.8
1005,23
1007,20.6
1009,12
1011,32.1
1013,22.7
1015,19.2
1017,19.7
1019,18.2
1021,15.5
1023,23.3
1025,19.4
1027,18.4
1029,15
1031,15.9
1033,16.5
1035,22.4
1037,17.1
1039,19.8
1041,17.5
1043,13.5
1045,15.7
1047,29.5
1049,19.4
1051,12
1053,23.8
1055,17.4
1057,19.6
1059,18.9
1061,21.1
1063,33.2
1065,22.1
1067,15.6
1069,19.1
1071,18.9
1073,16.9
1075,17
1077,16.2
1079,13.9
1081,18
1083,9.9
1085,28.3
1087,27.5
1089,10.2
1091,24.6
1093,18.3
1095,15.6
1097,18.2
1099,22.3
1101,21.7
1103,13.5
1105,33.7
1107,21.1
1109,23.9
1111,21.5
1113,21.7
1115,12.8
1117,7.7
1119,35.1
1121,19.1
1123,18.3
1125,14.7
1127,20.2
1129,20.6
1131,32.4
1133,19
2013,18.4
2016,10.4
2020,9.5
2050,24.6
2060,11.3
2063,7.7
2066,14.3
2068,7.5
2070,21.8
2090,7.9
2100,10.8
2105,17
2110,7.6
2122,11.5
2130,11.3
2150,8.5
2158,30.4
2164,20.6
2170,10.5
2180,19.8
2185,12.4
2188,20.9
2195,8
2198,15
2220,8.6
2230,6.1
2240,12.9
2275,11.3
2282,12.2
2290,23.7
4001,28.4
4003,17.1
4005,16.9
4007,16.8
4009,20.4
4011,9.5
4012,20.3
4013,11.3
4015,18
4017,24.8
4019,14.7
4021,10.7
4023,20.4
4025,12.5
4027,17.3
5001,17.7
5003,21.3
5005,13.4
5007,7.9
5009,13
5011,19.6
5013,14.6
5015,16.8
5017,27.9
5019,20
5021,17.9
5023,16.7
5025,14.1
5027,23.2
5029,16.9
5031,18.2
5033,14.7
5035,23
5037,16.7
5039,20.2
5041,27.6
5043,16.5
5045,13.6
5047,17.2
5049,18
5051,14.5
5053,11.2
5055,12.9
5057,21.2
5059,17.8
5061,17.9
5063,18.9
5065,18.4
5067,22.5
5069,20.3
5071,18.1
5073,23.7
5075,20.4
5077,34.9
5079,22.6
5081,15.7
5083,15.4
5085,11
5087,15.4
5089,17.8
5091,20.4
5093,23.9
5095,25.3
5097,19.9
5099,21.2
5101,19.1
5103,20.2
5105,15.2
5107,35.7
5109,18.6
5111,22.2
5113,19.3
5115,18
5117,15.7
5119,17.6
5121,17
5123,32.2
5125,8.5
5127,17.3
5129,20.9
5131,19.5
5133,18.3
5135,18.3
5137,20.8
5139,17.8
5141,17.1
5143,12.4
5145,16.3
5147,25.2
5149,15.1
6001,9.4
6003,15.8
6005,11.1
6007,16.6
6009,13.5
6011,11.4
6013,8.8
6015,21.4
6017,8.8
6019,19.4
6021,15.5
6023,19.4
6025,17.3
6027,12.8
6029,18.5
6031,17.7
6033,16.5
6035,18.8
6037,14.1
6039,20.4
6041,7.8
6043,14.1
6045,16.1
6047,21.9
6049,19.9
6051,9.8
6053,12.1
6055,9
6057,11.8
6059,9.9
6061,6.6
6063,13
6065,11.6
6067,13
6069,8.9
6071,13.2
6073,10.7
6075,11.4
6077,12.3
