,,
,,
,,
,,
FIPS_Code,Stabr,PCTPOVALL_2021
00000,US,12.8
01000,AL,16.3
01001,AL,10.7
01003,AL,10.8
01005,AL,23
01007,AL,20.6
01009,AL,12
01011,AL,32.1
01013,AL,22.7
01015,AL,19.2
01017,AL,19.7
01019,AL,18.2
01021,AL,15.5
01023,AL,23.3
01025,AL,19.4
01027,AL,18.4
01029,AL,15
01031,AL,15.9
01033,AL,16.5
01035,AL,22.4
01037,AL,17.1
01039,AL,19.8
01041,AL,17.5
01043,AL,13.5
01045,AL,15.7
01047,AL,29.5
01049,AL,19.4
01051,AL,12
01053,AL,23.8
01055,AL,17.4
01057,AL,19.6
01059,AL,18.9
01061,AL,21.1
01063,AL,33.2
01065,AL,22.1
01067,AL,15.6
01069,AL,19.1
01071,AL,18.9
01073,AL,16.9
01075,AL,17
01077,AL,16.2
01079,AL,13.9
01081,AL,18
01083,AL,9.9
01085,AL,28.3
01087,AL,27.5
01089,AL,10.2
01091,AL,24.6
01093,AL,18.3
01095,AL,15.6
01097,AL,18.2
01099,AL,22.3
01101,AL,21.7
01103,AL,13.5
01105,AL,33.7
01107,AL,21.1
01109,AL,23.9
01111,AL,21.5
01113,AL,21.7
01115,AL,12.8
01117,AL,7.7
01119,AL,35.1
01121,AL,19.1
01123,AL,18.3
01125,AL,14.7
01127,AL,20.2
01129,AL,20.6
01131,AL,32.4
01133,AL,19
02000,AK,10.8
02013,AK,18.4
02016,AK,10.4
02020,AK,9.5
02050,AK,24.6
02060,AK,11.3
02063,AK,7.7
02066,AK,14.3
02068,AK,7.5
02070,AK,21.8
02090,AK,7.9
02100,AK,10.8
02105,AK,17
02110,AK,7.6
02122,AK,11.5
02130,AK,11.3
02150,AK,8.5
02158,AK,30.4
02164,AK,20.6
02170,AK,10.5
02180,AK,19.8
02185,AK,12.4
02188,AK,20.9
02195,AK,8
02198,AK,15
02220,AK,8.6
02230,AK,6.1
02240,AK,12.9
02275,AK,11.3
02282,AK,12.2
02290,AK,23.7
04000,AZ,12.9
04001,AZ,28.4
04003,AZ,17.1
04005,AZ,16.9
04007,AZ,16.8
04009,AZ,20.4
04011,AZ,9.5
04012,AZ,20.3
04013,AZ,11.3
04015,AZ,18
04017,AZ,24.8
04019,AZ,14.7
04021,AZ,10.7
04023,AZ,20.4
04025,AZ,12.5
04027,AZ,17.3
05000,AR,16
05001,AR,17.7
05003,AR,21.3
05005,AR,13.4
05007,AR,7.9
05009,AR,13
05011,AR,19.6
05013,AR,14.6
05015,AR,16.8
05017,AR,27.9
05019,AR,20
05021,AR,17.9
05023,AR,16.7
05025,AR,14.1
05027,AR,23.2
05029,AR,16.9
05031,AR,18.2
05033,AR,14.7
05035,AR,23
05037,AR,16.7
05039,AR,20.2
05041,AR,27.6
05043,AR,16.5
05045,AR,13.6
05047,AR,17.2
05049,AR,18
05051,AR,14.5
05053,AR,11.2
05055,AR,12.9
05057,AR,21.2
05059,AR,17.8
05061,AR,17.9
05063,AR,18.9
05065,AR,18.4
05067,AR,22.5
05069,AR,20.3
05071,AR,18.1
05073,AR,23.7
05075,AR,20.4
05077,AR,34.9
05079,AR,22.6
05081,AR,15.7
05083,AR,15.4
05085,AR,11
05087,AR,15.4
05089,AR,17.8
05091,AR,20.4
05093,AR,23.9
05095,AR,25.3
05097,AR,19.9
05099,AR,21.2
05101,AR,19.1
05103,AR,20.2
05105,AR,15.2
05107,AR,35.7
05109,AR,18.6
05111,AR,22.2
05113,AR,19.3
05115,AR,18
05117,AR,15.7
05119,AR,17.6
05121,AR,17
05123,AR,32.2
